id	rate
12003	68.2
12005	70.7
12007	68.8
12009	77.5
12011	71.8
12013	69.5
12015	75.2
12017	74.1
12019	69
12021	74.3
12023	70.2
12027	74.6
12029	71.5
12031	66.9
12033	70.8
12035	74.2
12037	73.5
12039	69.6
12041	73.2
12043	74.9
12045	74.1
12047	68.2
12049	74.5
12051	74.9
12053	75.2
12055	74.7
12057	72
12059	72.9
12061	76
12063	73.8
12065	70.7
12067	70.7
12069	73.3
12071	74.5
12073	69.5
12075	72.8
12077	69.5
12079	71.3
12081	74.8
12083	73.9
12085	76.7
12086	73.3
12087	79
12089	67.6
12091	71.8
12093	75.3
12095	69.6
12097	73.7
12099	73.5
12101	72.9
12103	69.9
12105	74.3
12107	68.5
12109	73
12111	76.9
12113	71
12115	77.2
12117	68.6
12119	73.9
12121	70.7
12123	69.4
12125	68.8
12127	71.9
12129	68.3
12131	69.9
12133	73.4
13001	71.6
13003	70.6
13005	72.3
13007	71.8
13009	66.4
13011	68.7
13013	68
13015	69
13017	71.2
13019	71.9
13021	67
13023	69.9
13025	70.6
13027	70.5
13029	68.6
13031	71.7
13033	70.1
13035	67.9
13037	72.1
13039	69.3
13043	71.4
13045	69.2
13047	70.5
13049	67.4
13051	70
13053	68.8
13055	70.4
13057	69.1
13059	67
13061	71.2
13063	68
13065	66.7
13067	65.7
13069	72.2
13071	72.5
13073	67
13075	72.4
13077	68.5
13079	69.1
13081	70.9
13083	70.6
13085	72
13087	72.3
13089	64.7
13091	70.2
13093	70.2
13095	71.7
13097	68.4
13099	72.3
13101	70.4
13103	69.7
13105	67.6
13107	70.8
13109	71.5
13111	74.1
13113	68.3
13115	69.3
13117	69.2
13119	69.4
13121	65
13123	70.9
13125	67.4
13127	69.9
13129	69.9
13131	72.2
13133	67.3
13135	66.9
13137	69.5
13139	69.5
13141	66.4
13143	69.8
13145	65.9
13147	70.4
13149	68.5
13151	69.1
13153	66.4
13155	71.7
13157	68.3
13159	67.3
13161	70.2
13163	69.7
13165	71.1
13167	68.7
13169	66.6
13171	68.6
13173	70.7
13175	69.2
13177	71.6
13179	67.6
13181	66.6
13183	69
13185	70.4
13187	72
13189	67.8
13191	70.9
13193	69.4
13195	67
13197	69.6
13199	68.7
13201	72.6
13205	71.8
13207	67.7
13209	68.4
13211	67.2
13213	70.4
13215	65.9
13217	67.7
13219	67.1
13221	67
13223	68.9
13225	69.1
13227	70.9
13229	70.6
13231	69.3
13233	69.7
13235	70.1
13237	66.6
13239	69
13241	74.4
13243	70.4
13245	66.2
13247	68.2
13249	68.9
13251	71.5
13253	73
13255	69.3
13257	69.4
13259	69.6
13261	70.4
13263	68.2
13265	67.4
13267	71.1
13269	69.5
13271	68.5
13273	71.3
13275	71.7
13277	72.1
13279	70
13281	75
13283	68.2
13285	68.5
13287	71.5
13289	67.4
13291	75
13293	68.4
13295	70.9
13297	67.8
13299	71.5
13301	67.4
13303	66.9
13305	69.2
13307	69.6
13309	68.4
13311	71.7
13313	70.4
13315	70.8
13317	67
13319	66.5
13321	71.9
15001	83.3
15003	73.3
15005	75
15007	76.3
15009	77.2
16001	50.4
16003	64.2
16005	56.7
16007	62.4
16009	67.6
16011	57.2
16013	58.9
16015	54
16017	69.1
16019	59.3
16021	71.2
16023	57.9
16025	57.7
16027	50.6
16029	62
16031	53.4
16033	62.2
16035	63.4
16037	61.1
16039	48.8
16041	56.3
16043	62.2
16045	51.8
16047	53.1
16049	61.1
16051	59.6
16053	53.2
16055	67.6
16057	67
16059	62
16061	62.2
16063	53.2
16065	60.7
16067	53.4
16069	61.8
16071	58
16073	50
16075	54.2
16077	56
16079	69.6
16081	64.7
16083	51.6
16085	64.2
16087	56.6
17001	67.1
17003	68.8
17005	68.5
17007	72.6
17009	67
17011	69.9
17013	67.9
17015	71.4
17017	67.3
17019	70.5
17021	69.4
17023	70.5
17025	69.4
17027	68.5
17029	70.1
17031	68.6
17033	69.8
17035	69.8
17037	72.1
17039	69.6
17041	70
17043	70.4
17045	70.5
17047	69.3
17049	69.6
17051	69.2
17053	70.5
17055	68.9
17057	68.4
17059	68.9
17061	68.4
17063	70.9
17065	68.7
17067	66.8
17069	70.1
17071	67.4
17073	68.6
17075	70.2
17077	68.5
17079	69.6
17081	69.2
17083	68.1
17085	71.8
17087	69.5
17089	72
17091	71.2
17093	72.4
17095	68.4
17097	73.3
17099	70.7
17101	69.6
17103	70.2
17105	70.2
17107	68.5
17109	67.6
17111	73.5
17113	70.1
17115	69.3
17117	67.7
17119	68
17121	69.3
17123	70.5
17125	67.5
17127	70
17129	68.1
17131	68.1
17133	67.4
17135	68.4
17137	67.3
17139	70
17141	70.9
17143	69.8
17145	68.7
17147	69.8
17149	67.3
17151	69.5
17153	68.8
17155	70
17157	67.9
17159	69.5
17161	68.9
17163	68.1
17165	68.1
17167	68.8
17169	67.5
17171	67.2
17173	69.9
17175	70.3
17177	71.8
17179	69.9
17181	69.1
17183	70.6
17185	69.5
17187	67.9
17189	68.6
17191	69.2
17193	68.9
17195	69.9
17197	72.8
17199	68.3
17201	72.4
17203	70
18001	73.2
18003	72.6
18005	72
18007	71.3
18009	73.4
18011	72
18013	68.8
18015	71.4
18017	72
18019	72.8
18021	71.3
18023	72
18025	70.4
18027	70
18029	73
18031	72.5
18033	72.5
18035	73.4
18037	70.6
18039	73
18041	72.9
18043	71.2
18045	71.3
18047	73
18049	71.8
18051	69.7
18053	73.2
18055	69.8
18057	70.9
18059	73
18061	72
18063	72.1
18065	73.3
18067	72.5
18069	72.7
18071	72.5
18073	70.7
18075	73.8
18077	71.9
18079	72.7
18081	71.8
18083	69.8
18085	72.4
18087	72.5
18089	71.7
18091	73.7
18093	70.6
18095	72.8
18097	71.1
18099	72.6
18101	69.4
18103	72.4
18105	70.4
18107	72.2
18109	70.5
18111	70.2
18113	72.8
18115	71.8
18117	70.4
18119	70.7
18121	71.5
18123	70.1
18125	69.6
18127	74.8
18129	69.3
18131	70.4
18133	72
18135	73.6
18137	72.8
18139	72.6
18141	73
18143	72.2
18145	72.3
18147	70.3
18149	71
