id	rate
22121	70.4
22123	67.7
22125	69.9
22127	70.2
23001	48.4
23003	42.9
23005	49.1
23007	47.2
23009	47.7
23011	48.4
23013	48.1
23015	48.7
23017	46.1
23019	47.4
23021	45.2
23023	48.9
23025	47.5
23027	48.1
23029	47.2
23031	50.1
24001	54.9
24003	60.9
24005	58.2
24009	59.9
24011	59.1
24013	56.6
24015	57.8
24017	60.1
24019	59.8
24021	56.4
24023	52.1
24025	57.5
24027	58.7
24029	58.3
24031	59.1
24033	59.9
24035	58.9
24037	60.3
24039	60.1
24041	59.5
24043	55.8
24045	59.4
24047	59.3
24510	60.2
25001	53.9
25003	49.4
25005	54.2
25007	54.5
25009	52.8
25011	50.8
25013	53.9
25015	51.9
25017	53.4
25019	54.2
25021	53.6
25023	53.7
25025	54.7
25027	51.7
26001	49.8
26003	47.1
26005	53.1
26007	48.6
26009	49.1
26011	50.4
26013	47.3
26015	52.5
26017	50.7
26019	49.2
26021	53.5
26023	53
26025	52.8
26027	53.7
26029	48.7
26031	47.6
26033	45.8
26035	49.5
26037	52.4
26039	48.7
26041	47.2
26043	47
26045	52.3
26047	48.7
26049	51.9
26051	49.6
26053	46.4
26055	49.9
26057	51.1
26059	52.6
26061	46.6
26063	50
26065	52.5
26067	51.9
26069	49.7
26071	45.4
26073	50.6
26075	52.5
26077	53
26079	48.6
26081	53
26083	46.3
26085	49.3
26087	51.1
26089	50
26091	53.3
26093	51.9
26095	46.5
26097	47.3
26099	54.2
26101	49.9
26103	46.1
26105	49.5
26107	49.6
26109	48.4
26111	51.3
26113	48.7
26115	53.7
26117	51.4
26119	48.2
26121	52.4
26123	51.9
26125	54.4
26127	51.6
26129	49
26131	47.5
26133	48.9
26135	48.2
26137	47.6
26139	52.4
26141	48.4
26143	48.9
26145	51.3
26147	50.9
26149	53.8
26151	50.8
26153	46.7
26155	51.8
26157	50.8
26159	53.1
26161	52.8
26163	54.9
26165	48.7
27001	45.5
27003	50.4
27005	45.6
27007	44.4
27009	47.9
27011	49.4
27013	50.8
27015	50.3
27017	45.2
27019	49.5
27021	45
27023	48.8
27025	48.4
27027	46.8
27029	44.3
27031	43.6
27033	50.2
27035	46.3
27037	50.6
27039	50
27041	46.8
27043	51.1
27045	50.1
27047	50.7
27049	49.8
27051	46.8
27053	51.2
27055	50.5
27057	44.8
27059	48.6
27061	44.7
27063	50.3
27065	47.1
27067	48.5
27069	43.8
27071	43.5
27073	50.1
27075	44
27077	43.3
27079	50.4
27081	50.1
27083	50.1
27085	49.1
27087	45.3
27089	45.3
27091	51
27093	48.5
27095	47.4
27097	46.9
27099	50.5
27101	49.7
27103	50.5
27105	50.1
27107	46.7
27109	50.1
27111	44.7
27113	44.3
27115	46.4
27117	49.7
27119	45.1
27121	47.2
27123	50.4
27125	44.9
27127	50.1
27129	49.3
27131	50.3
27133	50.2
27135	43
27137	45.3
27139	50.3
27141	48.8
27143	49.9
27145	47.8
27147	50.2
27149	47.9
27151	48.5
27153	46.9
27155	48.4
27157	49.8
27159	44.9
27161	50.5
27163	50.1
27165	50.8
27167	47.1
27169	50.2
27171	48.9
27173	49.9
28001	68.5
28003	64.3
28005	69.8
28007	67.7
28009	65.5
28011	66.8
28013	66.4
28015	66.4
28017	65.9
28019	67.2
28021	69.3
28023	67.5
28025	66
28027	67.1
28029	68.6
28031	68.2
28033	65.3
28035	69.2
28037	68.4
28039	69.9
28041	69.9
28043	66.4
28045	70.9
28047	70.8
28049	67.2
28051	67.7
28053	67.4
28055	68
28057	65.8
28059	70.1
28061	68.5
28063	68.4
28065	68.2
28067	68.3
28069	67.2
28071	66.6
28073	68.9
28075	67.2
28077	68.7
28079	67.6
28081	64.8
28083	66.5
28085	68.6
28087	66.5
28089	67
28091	69.8
28093	64.3
28095	65.9
28097	66.4
28099	67.5
28101	66.8
28103	66.3
28105	66
28107	65.9
28109	70.5
28111	69.2
28113	68.7
28115	64.9
28117	65.1
28119	66.4
28121	67.9
28123	67.8
28125	68
28127	68.5
28129	68.8
28131	70.6
28133	67.1
28135	66.5
28137	64.9
28139	65.5
28141	65.2
28143	65.4
28145	64.7
28147	68.9
28149	68
28151	66.9
28153	69.2
28155	67
28157	69.7
28159	67.3
28161	67
28163	67.4
29001	56.6
29003	57.7
29005	57
29007	58.8
29009	61.9
29011	60.9
29013	60.3
29015	61.3
29017	60.8
29019	58.8
29021	57.8
29023	62.2
29025	58
29027	59.3
29029	60.4
29031	60.8
29033	59.4
29035	62.5
29037	59.4
29039	60.9
29041	59
29043	60.4
29045	57.3
29047	60.7
29049	58.8
29051	59.5
29053	59.3
29055	60.1
29057	60.9
29059	60.6
29061	57.9
