id	rate
12053	39.8
12055	44.8
12057	39.3
12059	38.3
12061	42.7
12063	38.2
12065	37.2
12067	37.8
12069	41.4
12071	42.3
12073	37.7
12075	39.4
12077	37.9
12079	37.1
12081	37.4
12083	39.9
12085	43.7
12086	44.5
12087	41.8
12089	37.6
12091	37.4
12093	42.6
12095	41.5
12097	43.6
12099	44.1
12101	39.5
12103	37
12105	43.1
12107	39
12109	37.9
12111	42.6
12113	37.9
12115	37.5
12117	41.4
12119	40.8
12121	37.8
12123	36.4
12125	39
12127	39.5
12129	37.2
12131	39.5
12133	39
13001	36
13003	36.8
13005	36.9
13007	36.7
13009	35.2
13011	35.8
13013	36.4
13015	34.2
13017	36.3
13019	37.5
13021	35
13023	36.1
13025	36.2
13027	37.1
13029	35.2
13031	36.1
13033	36.6
13035	35.1
13037	36.6
13039	36.9
13043	36.6
13045	36.5
13047	32.4
13049	37.5
13051	34.9
13053	34.1
13055	34.1
13057	36.5
13059	36
13061	37.1
13063	36.2
13065	36.7
13067	36.6
13069	37.3
13071	37.6
13073	35.9
13075	37.6
13077	35.8
13079	36
13081	35.5
13083	34.3
13085	38.2
13087	36.6
13089	36.6
13091	36.3
13093	35.6
13095	36
13097	35.8
13099	36.7
13101	37.1
13103	35.2
13105	34.7
13107	36.7
13109	35.7
13111	42
13113	36.5
13115	33.3
13117	37.8
13119	34.5
13121	36.7
13123	37.9
13125	36.4
13127	35.9
13129	33.3
13131	37.7
13133	35.9
13135	37.8
13137	35.8
13139	36.8
13141	36.5
13143	36.8
13145	34.3
13147	35.6
13149	35.3
13151	36.2
13153	34.9
13155	37.1
13157	35.8
13159	35.4
13161	35.4
13163	36.3
13165	36.2
13167	36.5
13169	35.4
13171	36.2
13173	37.5
13175	35.8
13177	35.5
13179	35.2
13181	35.4
13183	36.3
13185	37.1
13187	38.2
13189	36.3
13191	36.1
13193	35.3
13195	36
13197	35.7
13199	36.6
13201	37.1
13205	36.7
13207	35.4
13209	35.4
13211	36
13213	32.8
13215	34.3
13217	36.4
13219	36.1
13221	36
13223	35.4
13225	36
13227	37.9
13229	36.2
13231	36.2
13233	34.2
13235	36
13237	35.9
13239	34.9
13241	39.2
13243	36.1
13245	35.8
13247	37
13249	35.1
13251	36.6
13253	37.1
13255	36.2
13257	34.7
13259	35.4
13261	35.6
13263	36.1
13265	36.1
13267	35.6
13269	36.3
13271	35.2
13273	36.8
13275	37.7
13277	37.6
13279	36.4
13281	40.5
13283	35.9
13285	36.1
13287	36.3
13289	36.1
13291	40.5
13293	36.1
13295	33.5
13297	36.5
13299	36.7
13301	36.4
13303	35.8
13305	36.8
13307	35.4
13309	35.4
13311	37.4
13313	32.8
13315	36.1
13317	35.6
13319	35
13321	36.8
15001	34.6
15003	32.6
15005	25.1
15007	41.6
15009	24.1
16001	19.9
16003	29.9
16005	19.4
16007	26.1
16009	38.2
16011	20.2
16013	20.4
16015	23.4
16017	40.3
16019	21.9
16021	40.3
16023	19.3
16025	19.4
16027	19.1
16029	25.7
16031	17.5
16033	24
16035	31.8
16037	18.6
16039	17.1
16041	21.5
16043	24
16045	20.8
16047	17.7
16049	26.2
16051	22.1
16053	18.2
16055	38.8
16057	34.3
16059	21.8
16061	28.4
16063	18.2
16065	23
16067	17.5
16069	25.5
16071	21.6
16073	18.5
16075	21.4
16077	19.5
16079	39.7
16081	27.4
16083	17.1
16085	29.9
16087	22.1
17001	27
17003	28.4
17005	27.7
17007	34.2
17009	27.4
17011	31.8
17013	26.8
17015	32
17017	27.1
17019	30
17021	27.6
17023	29.6
17025	28.2
17027	27.3
17029	29
17031	33.5
17033	29.3
17035	28.3
17037	34.1
17039	29.1
17041	29.4
17043	34.9
17045	29.8
17047	28.8
17049	28.3
17051	27.8
17053	30.9
17055	27.8
17057	28.8
17059	28.3
17061	27.1
